id,texte,sentiment
2958,awww! thats sweet TTT!  Im sure she will love it! your a good son!,1
2959,Revision continues. Getting so bored and tired. I can`t wait to get out and do interesting things. Only a week and half left though,0
2960,yeahh! Ryland was amazing xD BUT I DIDN`T GET A HUG OFF HIM booo  Suarez seemed a bit off tbh..but I think he`d just woken up,1
2961,The  3d movie was amazing but a little to short  i wanted more!!,1
2962,God i`m so sleepy today I can barely focus,0
2963,"****, so many good deals...you guys have a conspiracy to steal all my money",1
2964,No show tonight  No plans. Ughhhh.,0
2965,hey Samantha welcome  and happy mother`s day!!,1
2966,unhappy about the news that the planned (experimental) ITER fusion reactor will become much delayed... 2025,0
2967,last reply  a scholar in US Homeland Security said an ontology was created for it 'and everybody hated it[s prescription].',0
2968,"Im feeling sad, not likeing my new haircut",0
2969,Ahh ! I just woke up.  forgot to reset my alarm clock.,0
2970,Grizzly Bear Concert tonight!!!!! Can`t wait. Will my cold be over by then though?,1
2971,Thanks bb.,1
2972,congrats!,1
2973,AHHHHH I needa hurry up and shower before this 'HUGE' storm hits,0
2974,"laughed so much today over that picture of lauren, that my chest hurts.",0
2975,In hysterics at Yaas` email <3 Am writing a speech for Speakers` and doing Food Technology...**** it`s good to be off school on a Monday,1
2976,Thanks Elaine. I`m clipping reviews for her scrapbook.,1
2977,"K now that, that fiasco is all wrapped and good too go  back to studying for midterms =(",1
2978,wanna do some sessions with ronnie he da bomb u know?,1
2979,Didn`t make to my cousin`s yacht convention. Hope he doesn`t get upset. And hope he won.,1
2980,haha that`s way cool! Good morning,1
2981,I luv urs! admitting niley with a kiss (: but then they change their minds  haha & demi/sterling (: not jemi but still cute,1
2982,still sick  @ Home http://loopt.us/iArPRg.t,0
2983,i do show some discretion occasionally,0
2984,Good morning World! Happy Star Wars Day! May the 4th be with you!,1
2985,is in mourning that he is having to miss the homesssssskooooler fair today!!!,0
2986,Thank You Clayton. Going to my favorite Greek Resturant after church for mom`s Day!!!!  Loved you on Huckabee,1
2987,Back from a wonderful vacation. Had perfect weather and now back to the rainy `burgh and reality.,1
2988,_Atticus Thank you,1
2989,Made it to Wisconsin... Now off to Golden Corral again! dang! lol we missed the graduation! tho  Dang!,0
2990,That`s me set up for an exciting Sunday lol,1
2991,Is Bored. Waiting Till 7:06 To Go Out To Tha Bus,0
2992,"awesome, I`m glad you like it.  FYI - Platinum Notes 3.0 should be out as a free upgrade this summer",1
2993,Got the keys to my new flat - gorgeous weather for weekend - and i`m spending it 'PACKING',1
2994,now my heart isnt cold  but im still missing you.,0
2995,"It`ll be worth the wait, I`m busting a gut here.",1
2996,I like them. I mean I like what`s left of them.,1
2997,fantastic.... pick up a **** for me,1
2998,hates the sound of silence..doesnt like being shut out..,0
2999,"humm.... I adore Mark #hoppusday ,so I`m just going to throw it out there #hoppusday....... have a nice #hoppusday people!!",1
3000,i want so bad to go to the mcfly`s concert  anybody up to go with me?,1
3001,"It was a lot of stress, though, so with that and supporting two big families he never quit smoking and died of lung cancer at 51.",0
3002,4 hours of shopping over... good effort. Best part = chocolate shop.... YUJM!!!... yum even,1
3003,Ok well from the pic i take it you do. Thats unlucky . Lmao,0
3004,Nice sunny day,1
3005,haha yay We love you too Mr. Shane Dawson,1
3006,thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day,1
3007,Yayyy,1
3008,Going to bed now...good night tweeters,1
3009,Meeeee! It sounds delicious,1
3010,now cash u kno I`m not a hater.....jus upset I don`t have my update yet,0
3011,in a bad mood now  annoying when its sunny,0
3012,seems like working.. rofl - sadly money is not growing on a tree,0
3013,excellent good to see,1
3014,"has applied for OSAP yet again- God, I`m gonna owe major $$$ by the end of my academic career, this just ain`t right!!",0
3015,my bracelet broke today too.,0
3016,Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,1
3017,'i hear its wonderful in california.',1
3018,so i`m screwed,0
3019,all good! Take a rest,1
3020,Watching Scrubs season 2. Oh I`m gonna miss that show,0
3021,_intruder well said...please take him off my hands..i can`t cope !!!! Set that fox on him,0
3022,"Wow, congrats Rosemary",1
3023,_booey it doesn`t make up for the pitch,0
3024,i have become my mothers slave.,0
3025,The arrival of cargo Red G5 to Toronto has been postponed til tomorrow afternoon.  gonna miss my lil bro`s bday...he`s been waiting 4 me!,0
3026,Really?? I feel special,1
3027,"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm & cOzY iNsIdE  LoL",1
3028,Gossip girl & pizza on the way = thank you to my lil babe,1
3029,she was sleep and then she woke up to check on me see if i was cold or hot i love my mom,1
3030,_rashid aww how cute  I like that song a lot,1
3031,"bored, nothing to do",0
3032,Sounds nice! If you try the recipe you gotta tell me how it turned out!,1
3033,"i hope to, no promises  they all my kids and the dog at the moment, a couple of flowers too",1
3034,"yep i am.got back this morning. NFg were fab last night, but i cant go tomorrow   you getting MS ticket soon? 4weeks away",1
3035,now accepting maid applications.  would be nice if you`d start first thing tomorrow - would make a wonderful Mother`s Day present!,1
3036,lol i`ll have to look on youtube later  thanks,1
3037,happy mother`s day!!!,1
3038,"Having some Coronas, and have a bad craving for Mexican pastries, but i`d have to go to Uptown to get some",0
3039,Good morning to you. Hope you have a nice productive day,1
3040,Eating a bagel  yummy,1
3041,I don`t. I hope it takes them a good long while to recover.,1
3042,Lmao Yes its on the 27th  I get so excited lol,1
3043,Have a great weekend Mononoke  I may be tweeting from inside the movie theater either Monday or Tuesday  lol,1
3044,No betta nest  I think despite the heater it gets too chilly at night,0
3045,Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,0
3046,haha that photo is too funny! I hope he wasn`t disturbed by passengers too much during the flight,1
3047,Got moommy somn special for mothers day,1
3048,"@_elj OK nice one, cheers boss.  Am liking the lack of FCS today.",1
3049,Hahah. Love them!,1
3050,Chem final right now. Awwh mrs. Oli! Imma miss you!,0
3051,"Being unable to have booze on a Friday, indeed the entire weekend, actually hurts",0
3052,Finally lost FM97,0
3053,"honestly last night was amazing, everything was perfect",1
3054,missed Britains got talent    gutted.,0
3055,Gotta buy some onesies for my besties lol ah Yea!  at the club having a grand ol time,1
3056,Lan Poker is so much fun!!!!  Someone help me remember ki compre chal raha hai abhi!!!!,1
3057,"Nah, they don`t. All my Twiter followers are fabulous.",1
3058,I really want to go to milwaukee but my sis doesn`t want to  well she won`t tell me,0
3059,am hungry agaaaaaaiiiin maaaam,0
3060,"thanks.mine wasn`t too bad. Made a card for my mom, had a nice nap, finished some work, wrote bills, I have a surprise for you",1
3061,happy mothers day to all the beautful mums.,1
3062,you may have to email the tech support ppl. that`s odd.,0
3063,I certainly know the feeling. Wesley is sleeping and I want to go get something to eat but I only have $4.38 in my account,0
3064,That would be SOOOOOO much and Geeky to the ultimate LEVEL! But I work 9 to 530am,1
3065,I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them,1
3066,supposed to be visiting Austin Sun-Thurs..but not feeling well since vaca.  Would`ve said hello for sure!,0
3067,Computer remains dead,0
3068,"mmm thanks, if u get too stoned and eat it thats cool",1
3069,ughhh rejected from the 09 mediation program. SUCKSSSS.,0
3070,awesome. lemme see when you`re done.,1
3071,someone has hacked into my emails!! **** off!!,0
3072,If you mention this twitter group to your followers I would be very grateful,1
3073,_sb I killed my furby tooo,0
3074,still in love with marky mark,1
3075,"_The_BC well, in the end, everyone`s happy (most of the time)",1
3076,"Good morning, everyone!",1
3077,Came home after getting ratty in a shop with the staff and a blister on the foot. Meh,0
3078,"one of my favorite, most relaxing songs to wake up to: http://tinyurl.com/c8fr3e Good morning.",1
3079,"Oh ffs :@ a don`t get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you Ã¯Â¿Â½  :@",0
3080,"Sounds like fun... I think?! LOL! I naughty, should be ironing and watching NK **** on youtube instead! LMAO!",1
3081,i don`t know what lender it was? yea these people definitely sucked butt toes. NOT friendly or helpful.,0
3082,"NIN App Gets Rejected by Apple, Reznor Threatens to go Jailbreak - always entertaining  http://viigo.im/sXB",0
3083,The Goonies. Projected. On a garage door. With my friends. Amazing.,1
3084,I like to support my friends  It`s sad that I`m your only friend though,0
3085,At the hospital today then shopping with mom  Love you so much.,1
3086,"Its friday and i`m sick, story of my life...",0
3087,I am not a ****! damnit!  [sending you an e-mail right now btw],0
3088,not having a good day..one bad thing after another,0
3089,yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust,0
3090,Yes! You do!,1
3091,Just got my marks...  BCIT is the death of me I swear!,0
3092,i miss our walks home together,0
3093,Finished new moon! Woo! Now i want the next one...,1
3094,im tweeting... this is so hard... i dont get it...,0
3095,http://twitpic.com/4wc1y - Cracking myself more & more up..  PhootoBoothingisFunForBunny Volumen Eins!,1
3096,I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.,1
3097,"Looking to sketch final catwalk outfit, i really REALLY want my long pink hair back. i also want to dye my models hair pink not allowed",1
3098,"Hey, look who`s on twitter   Very kewl",1
3099,blahh i`m tired and i gotta go to the airport to pick my mom up! && im bored but on the upside im listening to the backstreet boys,0
3100,says: 'Happy Mothers Day!',1
3101,You`re not here. I hope you`re still resting.  I don`t want you to be stressed.,1
3102,Going to IKEA with the roomie so she can shop for her apartment. IKEA is in like my top ten stores that I love,1
3103,it wont work for me,0
3104,good night..have to get up so early tomorrow,1
3105,yeah! but too late  lol,0
3106,"LOL she is okay, its just he songs are so catchy they get stuck in my head",1
3107,"Oh, awesome, I have Yahooo!  Good night, sleep tight, don`t let the bed bugs bite!",1
3108,"Not allowed to call as I live in the UK, my parents say it will cost to much  Sucks !!",0
3109,its not a starfleet one  its not even a romulin one  its like the random one i dont remember ha. and you cant wear it! lame,0
3110,i`m playing good because i`m a big baby,1
3111,why have you still not called me back regarding the groundbreaking production i sent you earlier,0
3112,You must be scared to be trolling here. You guys are so sad.   #tcot #right,0
3113,hope you have a great day tomorrow!!  happy mothers day!  let us know what you did,1
3114,Decided I should study  (finger down throat making gaging noises) Hate MFs!!,0
3115,Exhausted after coming home from a swim this morning! It`s more tiring than I remember! HAPPY MOTHERS DAY,0
3116,Riley had an alphabet fashion show today and I forgot my camera.  It was so cute!,1
3117,The fever`s gone ... Thanks Jen!,1
3118,"Not living, just trying to earn the grocery money.  I do enjoy eating at least once a day!",1
3119,It just occured to me..... tonight is Cheri`s Prom Night......I was suppose to go with her...... 970 miles makes that kind of difficult.,0
3120,havent been on here in ages  sorry twitter.. tweetdeck is broken,1
3121,"thank u, thank u, thank u for everything this weekend!! U guys are AMAZING. I`ll see u again at alpine! Thx for chattin w us 2!",1
3122,SC2 will be released before D3  Hopefully!,1
3123,That`s not too bad.  Good luck!,1
3124,Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,1
3125,ugh... I know the economy is depressing...,0
3126,"nothing  it`s sad, actually",0
3127,"She must be able to tell we`re reprobates, despite your endorsement. She sounds pretty smart!",1
3128,"yeah, I had a suspicion about that!! I think I`m going to come home and want to spend a ton of money on tools!",0
3129,Thanks! We`re almost there,1
3130,Will miss my baby for 2 days,0
3131,love how dad said he`d be ready to go at like 3:15 and it`s now 4pm and I`m still working.,1
3132,"Thanks, I love it",1
3133,Hmm. Did you mean to start 'following' me? Oh and g`morning by the way!,1
3134,"Baking experiment results: delicious, very sweet, very rich.  Almost too sweet.",1
3135,"Love song for the night, 'Then' by Brad Paisley.  Happy Mother`s Day   Love & Light ~ Joy",1
3136,"Ohhhh man  My mom got a bag of these caramel candy things, they`re soooo good. I`m going to get so fat off of them ;__;",1
3137,This chair is not comfortable at all,0
3138,The battle at Minas Tirith is still very impressive. Return of the Jedi is the best Lord of the Rings movie IMO.,1
3139,I was just about to put in '@' and then my username.. Wow.,1
3140,I just woke up. My teeth really hurt from my rubber bands,0
3141,"Ok, WTF?! Why do you have something on your menu *in the window* if you don`t sell it?! I wanted my bubble tea",0
3142,although I know he would never be okay with a homebirth. Moot point since we`re done w/ babies,0
3143,no I wish. Just a van that comes round. We missed him,0
3144,you got it. poor thing not gonna have a choice for much longer though,1
3145,"_OfOz cool, catch you laterz!!!",1
3146,Too much details !!!    (But glad he is better),1
3147,"yes, i found you! come to greenville. perfect weekend for pictures and no sidekick to go shooting with",1
3148,I wish yesterday was Friday,1
3149,"Getting closer to logging in. My left hand is so swollen, I can`t wear my wedding ring. I keep forgetting and worrying that I lost it.",0
3150,"grr!  i hate being **** near forced to go places.  especially to sit on a bus for an entire day just to sit in a house in podunktown, va",0
3151,"I`m so confused about the weather, is it really gonna be sunny? or is it really gonna rain?",0
3152,"Finally picked up some handwraps, but struggling to wrap my stronger hand with the other! Defo should have got some a lot sooner though",0
3153,Went to the hawksmoor last night and probably had the best  steak I`ve ever had,1
3154,so looking forward to your new album,1
3155,Had a long day at work. Stood home. Now sleeping to have another long day at work tomorrow & happy mothers day to all mothers,1
3156,wat the! you were in riverside??,0
3157,_skies miss you too :`( it is!i never want to come home.....seriously,0
3158,"WOw, that`s a lot of work.  I hope today is a day off for you.    I`m working as usual.  But, getting some playtime in too.",1
3159,What a busy day ... am disappointed that today`s show is a repeat,0
3160,WHAT! That`s horrible! To purposely write about it to a bunny is just mean & cruel!    Not to mention just plain tacky....,0
3161,- for all dad is doing like this to his son/daughter love,1
3162,I didn`t go to the gym today and I feel bad,0
3163,"I love U2! Lol, I you ever need a slow but good audiobook Oliver Twist is a one I`ve been listening to lately.",1
3164,"Rope witdrawal in full effect, no one to tie, no teaching, no demos, no one to play with. But worst of all - No one to play with!",0
3165,I want to cry at the thought of the NBA season being almost over  NEXT YEAR MIAMI!!!!!!!!!!!!,0
3166,is at the salon with my mom  happy mothers day mom!,1
3167,lol sweet!!! ...i still have yet to watch the 4th movie  hope ur having a lovely weekend! happy mother`s day from aus! =P haha,1
3168,mommy coming home from vegas tonight! going to pick her up later in islip her plane doesnt get in until 10:40. KILLME. i want my mommy,0
3169,Same to your mom too pril,1
3170,"_j 4ever, it was in she`s the man aswell  I love them now. I want gossip girl too! Have decided summer = spending lots.",1
3171,Happy Mother`s Day to every mommy out there,0
3172,you can learn a lot from another person.. dont try to out better oneself when its all about love and happiness  goodnight,1
3173,"I googled him & looked @ a lot of sites... I should have checked here first.  How Exciting, for you both",1
3174,oops! ignore last post  meant to be a direct message!,0
3175,the sunset view is SO beautiful from my room!,1
3176,live long and prosper !  lol star trek was the best!,1
3177,That`s a relief! I feel better knowing it`s hereditary.  Have fun!,1
3178,added 30 minutes to morning sleep by cutting out useless Today Show. Feels nice,1
3179,Thanks about the ponytail. I dreamt last night that I shaved my head...??? I guess it`s a bigger deal than I thought.,1
3180,Sweet! I`m a Jaycee one-letter-er I think. Just D!,1
3181,be patient  you`ll get it soon,1
3182,how was your day ? boredom stuck my head,0
3183,"Thanks, I`m glad you liked it. It`s a flower made of diamonds",1
3184,". No sun  but I can see the ocean now..I almost ran over a squirrel driving home from the store, was so foggy! Where r you?",0
3185,sorry change of plans for me   :`( revision for monday exam in a park with one of my friends,0
3186,Lol...  Its NOT the same!!!,1
3187,Excellent the Suzaku 7 are back together  woop last episode  hope its a happy one i`m a sucker for these really lol shh,1
3188,knows its all going to sort itself out,1
3189,I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!,0
3190,that doesn`t sound like fun,0
3191,"I wasn`t tryin to call you out, I just remember my dad ALWAYS had my **** late. He never got in trouble, I did.",0
3192,"Well, at least it`s not as bad as I thought. Found a new website to watch movies on and I gotta say.......it`s not bad, not bad at all",0
3193,Airsoft is horrible!! Hope you didn`t get hurt,0
3194,"Sad news, after a week in the hospital, My uncle past away today. R.I.P. Uncle Tony",0
3195,i waited too long to buy pink tickets!  now we`re going to be in nose bleed!!  how sad  we`re taking binoculars...,0
3196,Back at work.....too much email in my inbox....,0
3197,_Blue - the chauffeur from 'Some Kind of Wonderful' was my idea of a perfect woman,1
3198,how come u all don`t seem to excited to play in DC????,0
3199,"me too.  I was in Florida last weekend for the rain.  Came back home to RI, rain.  Terrible",0
3200,seen him! he`s beautiful,1
3201,well Sunday the weather looks great gone take my bike to visite my mom on her day,1
3202,I hate when a program freezes during installation.,0
3203,"checked out Green Day on demand & saw the new live videos. U were right, they did blow my mind  I love u SGB, even more all the time, Mom",1
3204,"So then **** Awesome Super Sexy Stud Muffin Beast, How`s that sound to you",1
3205,"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",0
3206,actually loves nesquik cereal,1
3207,"My #followillfriday sucks because while I was teaching people how to be nice, you **** were drooling over Notion",0
3208,heyahh i thought u wern`t cumin to london till the 5th ? i love you taylorr ..****,1
3209,I want to go with you !  But I`m tierd....,0
3210,TIGERS! WOO! YOU`RE MY BABY! omfg. cleveland was a blast. sleeping.,1
3211,"hopping in the shower,   you can help me tidy my room  its a **** hole, mums **** friends",0
3212,- So sorry Ambien got sick.  Perhaps work her ashes into the garden with a catnip plant?,0
3213,"Yeah, plus I always totally overspend",0
3214,i dont wanna miss the laker game tonight! i`m so sad,0
3215,"YAY!! that`s so cool  aww that woulda been sweet, no worries though! I`m just glad you had fun!!",1
3216,nooooooo  sue is retiring  no no no no!,0
3217,The race was Saturday night. Jimmie didn`t do so great. He`s still in 3rd place,0
3218,... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq,0
3219,"yeahh! i am very happy with my pendant, and hope to see you in future fairs. ps. good mini muffin",1
3220,going to watch boy in the striped pj`s hope i don`t cry,1
3221,"Amazing! The concert, the city, everything. It was really an awesome trip",1
3222,new supernatural tonight!,1
3223,I think I would be a good radio dj...I like awesome music and I have a great personality!!!!  ;) !!!   !!!,1
3224,He seemed all happy about it,1
3225,addict? Me? Okay I admit I need help  BUT... I have been writing hits big bro. I really really have *smile*,1
3226,let`s make this last forever.,1
3227,It`s your inherent humility,1
3228,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it,0
3229,my trousers are damp.,0
3230,Ahh! Members of the toasters and  playing with void union! Sick! I missed  and we are the union,0
3231,I don`t get as much time here either. It`s going to get worse now that the girls r home for summer.  It stinks.,0
3232,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,0
3233,my tummy kinda hurts!,0
3234,10-Year-Old Girl Battles Rare Breast Cancer  http://bit.ly/JPe9c,1
3235,has a sore throat,0
3236,"a midwest girl, lol....so close and yet so far",1
3237,No.  I was thinking just before how much I miss my T-Dub.,0
3238,Happy Mother`s Day.....................I had a gr8 day with my kids & my MUM,1
3239,: eww. dislike,0
3240,aww i hope it does fly by because JT episodes are usually really good (and it`s early but so far this ep hassn`t disappointed),1
3241,"I`m fighting off feeling sick. Hoping it`s just tired. I`m really not feeling too well, though",0
3242,Tired. About to climb into bed and fall asleep. I hope this weekend will be fun... I only have a couple of weeks left,1
3243,Good night Erin!  i wouldn`t say that this is early or that you are old.,1
3244,"got THE best mothers day present from Tys. It made me cry uncontrollably, and it wasn`t a present",1
3245,good to have a (boy)friend like you,1
3246,when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street,1
3247,Ahhhhh! My 'Let The Right One In' DVD broke,0
3248,"ahh, that would be a good reason.. Heh hope that goes well hun",1
3249,my knee hurts!,0
3250,lol very much appreciated!!!  so excited!!!,1
3251,no sorry twitter sucks balls since the replys change  #fixreplies,0
3252,I lost a follower  oh well probably one of those mute ones anyway.,0
3253,_Rain oh what the hell  way to tell me.,0
3254,gooooonight twitter...... i hope im better tomorrow,1
3255,Having a great chat with a friend. He`s totally putting my mind at ease,1
3256,"Yeah, planning to do that actually. Got a Kinokuniya discount card, so I`m going to splurge.  Just worried about being overwhelmed.",0
3257,Thanks! I will tell her my friends on Twitter say so.,1
3258,really? awesome! we love it...and I work at buckhead church too. I love it all around.,1
3259,THANK YOU,1
3260,i have the bigggest headache,0
3261,"Fatigue settling in, but gotta power through! Awesome seats again tonight. I`m pretty lucky. Life ain`t too bad...",1
3262,kate is leaving me all by my lonesome,0
3263,Tshwane wants double rates but try and phone to get service - endless loop #fail,0
3264,i wish i can go to two different schools at the same time.,1
3265,oh no I hate that,0
3266,holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha,1
3267,Why am I so tired?????? Whyyyyy make it stop. Merm is not going to be fun tonight.,0
3268,wide awake ready for the big shopping trip! hope I get tones of sweet dealz and lots of fancy clothes,1
3269,It was indeed a lovely evening. Over far too quickly  I got home at 1115 in the end. Coffee in bed this morning,1
3270,"bout to watch notorious cause that`s how i`m feelin now. wish i could eat something, but i can`t.  surgery tomorrow. no food til saturday",0
3271,womp womp woooomp!,1
3272,weekend along with the summer is here so why do I feel sad?,0
3273,Oh sure . Thx,1
3274,mmm much better day... so far! it`s still quite early. last day of #uds,1
3275,Ugh feeling sick to my stomach and I have five more hours of work to go,0
3276,Nice musli bars!,1
3277,maybe I missed my chance this time,0
3278,paramore songs? one of the best! currently listening to 'emergency',1
3279,Not Columbus but just wanted to say sorry to be missing Indiana show tomorrow. So sad  I will be in the woods with 8 GS.,0
3280,Hehe! It is nice down there,1
3281,"Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day 'colorblind'.",1
3282,_smith1 wats i got luck for u guys to beat la!! lol i would like to see this best wishes to the denver nuggets but my cavs are done,1
3283,"just looked at your page and realised it was a radio show, get them to play Call It What You Want so love that track",1
3284,"That`s the problem. The earphones I get here don`t last more than 2 months, no matter what brand or price.",0
3285,"YM, meebo & ebuddy really hate us",0
3286,White House joins social networking sites > http://bit.ly/15Fo4X - better late than never,1
3287,So true Donna  Wish you a joyfull sunday ~Siddy,1
3288,So bored  waiting for class to start. Sigh midterms next week >_<,0
3289,I am back from the best party ever,1
3290,ugh. it sounds like a busted cable box then  what time zone are you in?,0
3291,is feeling waaay too cruisey and relaxed for a Monday evening...  oh wait..  that`s just wine before dinner...,1
3292,that video was funny  i`m just signing up now and i`ll vote for you!!  x,1
3293,I love my puppy,1
3294,so i got to my exam centre n they said we can`t let u becuz of your sleeveless top! U cud BELIEVE that!? i had to go home,0
3295,figuring out wats wrong with her she can drink but cant eat  ...,0
3296,thanks  sweet dreams to you too!,1
3297,Sadly cannot listen...  *sob*,0
3298,"friday here at last, not much fun when your skint though",0
3299,"Don`t fall to celebrity worship, though... just write what you think, do the best you can and rock on",1
3300,"I`m home, Yay! Unpacked everything, now just got to wash it all",1
3301,xbox broke  hope you enjoy playing 1 vs. 100. I was...looking forward to that.,1
3302,"That was my entire week!! I didn`t get to design once while at my GRAPHIC DESIGN job, only at home doing freelance. Sad.",0
3303,on our way home after seeing Rodney Atkins in concert...I Love him! Thanks Bob,1
3304,Happy Star Wars day! May the 4th be with you!,1
3305,ohhh that cant be very fun    but hell you manned it up!!   looks like you got some **** done today!!,0
3306,okay thank you! i can`t find it,1
3307,"actually, i think i`m being mean to her....i feel sorry now",0
3308,i missed the game,0
3309,I wish the sun would come out...I guess it doesn`t matter since I`m at work and can`t enjoy it anyways,0
3310,"oh dear.  that is terrible. however, moleskine notebooks rule. a lot.",0
3311,Can`t figure out how to reply on Tumblr sorry! I don`t get into NYC until 6/4 so I can`t go to any events b4 then,0
3312,why do i have to wake up so early goddam?! 7.30 on my last day off  bummer,0
3313,At the library  being friggin bored.,0
3314,will have to wait on the recipe at Simply Recipes.  Sorries!,0
3315,Hubby needs a vacation  Thank God we`re leaving for Myrtle Beach in a week!,1
3316,At least they ( kids) havnt gotten to big to still say mommy ILOVE YOU. AWWW they are so sweet. I am so lucky to have my kids.,1
3317,My knee is killing me,0
3318,"Plus you guys have IceTV, which I REALLY miss from living there.",0
3319,"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR",1
3320,"awww  no problem , sorry for tha loss",1
3321,"Have fun, hon! Ooh, look what a poet I am.",1
3322,I have clocked out for possibly my last time at Northview Middle School.,0
3323,really enjoyed the podcast with  This was my 1st time listenening to the show. Will def listen from now on,1
3324,doesn`t sound so great at all  http://is.gd/JslB #palmpre,0
3325,dam just finished watching Prison Break: the final break...omg i dont think i`ve cried so hard for a show..Finally understand the finale,1
3326,_Songs I know  Especially since the summer is such a boring TV time to begin with.,0
3327,Alternate name for a 'Bacon Mary'... A 'Bloody Piggy!' ;) (I have to give my boyfriend credit for that idea!),1
3328,TIRED! goodnight twitter  its mother`s day  happy mother`s day  lov my moomy <3 yayy! God Bless.,0
3329,Wish I lived in or atleast relatively close to Ohio!   Haven`t seen _Troy or _McLoven in almost a year.,0
3330,Floor mopping sounds unappealing,0
3331,That sucks that u have 2 go through that  id b pissed 2,0
3332,I thimk you were working on those muscles we love so much.,1
3333,"hi cs, welcome to the twitterverse, if i can help with anything, just ask",1
3334,JONAS rocked tonight!  going to bed after I write a lil bit... Night and bless all,1
3335,"ugh something is wrong, suddenly I feel extremely flushed and shaky and I broke out in a sweat. Idk what`s wrong.",0
3336,Nothing like In `n` Out and a LOST marathon after a long day of work.,0
3337,Today is a blessed day,1
3338,that doesnt look good at all.,0
3339,"Good Morning, good wakeup music",1
3340,Goin to the mall and gonna see the movie ghost of gfs past i hope its good and top it all im goin alone  but ilook cute and feel good ^^,1
3341,HAHA I LOVE THE WAY U PUT IT 'He lifts our feet off the ground spins us around and makes us crazier',1
3342,http://twitpic.com/4wsue - yeah  well thanks *blushes*,1
3343,She could spend the rest of the night in her room.  At least ONE of you could be happy with a glass of wine.    #surlytween,1
3344,"'ICANT LIVE, i cant live!!!' lmao. Oh and btw - oooowwwch my foot  hurry with that plaster, im going to bleed to death",0
3345,*waves back* Have a good day,1
3346,"Ugh.. apparantly doc authorized my refills on tuesday (and ready to be picked up), but the order status online still says waiting review.",0
3347,Hell if I know.  I`m suffering,0
3348,_crumbles all the best for art attack. thanks 4d follow,1
3349,"Working on a bank holiday, but I don`t mind - it`s all good fun",1
3350,Rode a jeep home with my mentor. Heard his story being in UP FineArts. Pretty cool.,1
3351,not funny,0
3352,is online shopping...fantastic,1
3353,I`m enjoying this Sunday very much. No parents. No revision. Just like any other Sunday,1
3354,nope- dnt have wireless ne more  HATERS!!!! Ugh... Save me a copy so I can watch it...,0
3355,"is making cupcakes and says i can`t have any  kelli, you`re a bad sister.",0
3356,"sorry to hear that  It`s going okay, just tweeting away",0
3357,i DID argue with byron because he said im fat,0
3358,Just uploading photos from the cell...nothin like true candid-ness!,0
3359,"my entire body hurts.  shower, hot tea and tv please..",0
3360,because I just lost my first Field Notes notebook 6 pages before filling it up!! RIP  #fieldnotes,0
3361,seriously why did mum make me eat yeah i have a weird eating habit of not eating all day but really,0
3362,"its at 3 am, im very tired but i can`t sleep",0
3363,just watched it on youtube and its hilarious. i laughed trough it.. seriously guys so funny.. greetings from Germany...,1
3364,"Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",0
3365,office hours/trying to make my computer feel better.,1
3366,unfortunately noy   my life suck this year.,0
3367,my friday feels boring too. no time for fun today and not so much in the mood for it either,0
3368,"Very very interesting night in Defiance to say the least... but hey, I got `Guys and Dolls` for free!",1
3369,"ok my friend is about to dye my hair black scary i know, ill try to post some pics tonight if not tomorrow for ur verdict",0
3370,"and Amanda Peet in A lot Like Love. Loves it.. Classic, really",1
3371,OMGSH IM BEING FOLLOWED BY >>PARAMORE<< :O,1
3372,Yay! Go wyattt your totally amazing`!`! Im So happy for you.  yay,1
3373,"I want to see my friends  Mindless fun. No work, all play. All drunk, all walwal. All being mean to each other and sleeping in one bed",1
3374,"good morning twitter-ers  rise and shine,, just on my way to school",1
3375,Will cook a sumptuous lunch today,1
3376,studying out of spite. whatever.. Wonderful unforgettable weekend with DC,1
3377,Hulu Desktop looks nice but not for my region,1
3378,Had a nice chat with an old frnd... its been a while since v talked  was fun...,1
3379,never invite,0
